targetInfo,sourceInfo,mappings,column0,datatype,potentialMatch_C0,sourceReference,confidence,matchType,responseTime
"{""targetHash"": ""4HLG6HxRCio"", ""targetPreprocessHash"": ""LTdWcoNrFXI"", ""columnCount"": 3, ""headerRow"": 0, ""targetHeaders"": [{""Customer_ID"": [""numeric"", ""numeric"", ""integer""]}, {""Latitude"": [""numeric"", ""numeric"", ""decimal""]}, {""Longitude"": [""numeric"", ""numeric"", ""decimal""]}], ""targetLocation"": ""s3://dabot-testing-bucket/QA-Data/SubSet1/QA-Plan - Target_Schema.csv"", ""GPTSummaries"": []}","{""sourceHash"": ""B6RsFZWLjus"", ""sourcePreprocessHash"": ""K_0qZi6FWYM"", ""columnCount"": 3, ""headerRow"": 0, ""sourceHeaders"": [{""cust"": [""string"", ""string"", null]}, {""lat"": [""string"", ""string"", null]}, {""long"": [""string"", ""string"", null]}], ""sourceLocation"": ""s3://dabot-testing-bucket/QA-Data/SubSet1/QA-Plan - Test8.csv"", ""GPTSummaries"": []}","{""matches"": [{""column"": ""Customer_ID"", ""displayName"": ""Customer_ID"", ""reference"": ""$_COLUMN_0"", ""targetPosition"": 0, ""datatype"": [""numeric"", ""numeric"", ""integer""], ""matchInfo"": [{""potentialMatch"": ""cust"", ""sourceReference"": ""$_COLUMN_0"", ""confidence"": 17.0, ""datatype"": [""string"", ""string"", null], ""sourceIndex"": 0, ""matchType"": ""abbreviation""}]}, {""column"": ""Latitude"", ""displayName"": ""Latitude"", ""reference"": ""$_COLUMN_1"", ""targetPosition"": 1, ""datatype"": [""numeric"", ""numeric"", ""decimal""], ""matchInfo"": [{""potentialMatch"": ""lat"", ""sourceReference"": ""$_COLUMN_1"", ""confidence"": 17.0, ""datatype"": [""string"", ""string"", null], ""sourceIndex"": 1, ""matchType"": ""abbreviation""}]}, {""column"": ""Longitude"", ""displayName"": ""Longitude"", ""reference"": ""$_COLUMN_2"", ""targetPosition"": 2, ""datatype"": [""numeric"", ""numeric"", ""decimal""], ""matchInfo"": [{""potentialMatch"": ""long"", ""sourceReference"": ""$_COLUMN_2"", ""confidence"": 17.0, ""datatype"": [""string"", ""string"", null], ""sourceIndex"": 2, ""matchType"": ""abbreviation""}]}], ""unmatched"": {""unmatchedHeaders"": []}}",Customer_ID,"[""numeric"", ""numeric"", ""integer""]",cust,$_COLUMN_0,17.0,abbreviation,6.421267032623291
"{""targetHash"": ""4HLG6HxRCio"", ""targetPreprocessHash"": ""LTdWcoNrFXI"", ""columnCount"": 3, ""headerRow"": 0, ""targetHeaders"": [{""Customer_ID"": [""numeric"", ""numeric"", ""integer""]}, {""Latitude"": [""numeric"", ""numeric"", ""decimal""]}, {""Longitude"": [""numeric"", ""numeric"", ""decimal""]}], ""targetLocation"": ""s3://dabot-testing-bucket/QA-Data/SubSet1/QA-Plan - Target_Schema.csv"", ""GPTSummaries"": []}","{""sourceHash"": ""B6RsFZWLjus"", ""sourcePreprocessHash"": ""K_0qZi6FWYM"", ""columnCount"": 3, ""headerRow"": 0, ""sourceHeaders"": [{""cust"": [""string"", ""string"", null]}, {""lat"": [""string"", ""string"", null]}, {""long"": [""string"", ""string"", null]}], ""sourceLocation"": ""s3://dabot-testing-bucket/QA-Data/SubSet1/QA-Plan - Test8.csv"", ""GPTSummaries"": []}","{""matches"": [{""column"": ""Customer_ID"", ""displayName"": ""Customer_ID"", ""reference"": ""$_COLUMN_0"", ""targetPosition"": 0, ""datatype"": [""numeric"", ""numeric"", ""integer""], ""matchInfo"": [{""potentialMatch"": ""cust"", ""sourceReference"": ""$_COLUMN_0"", ""confidence"": 17.0, ""datatype"": [""string"", ""string"", null], ""sourceIndex"": 0, ""matchType"": ""abbreviation""}]}, {""column"": ""Latitude"", ""displayName"": ""Latitude"", ""reference"": ""$_COLUMN_1"", ""targetPosition"": 1, ""datatype"": [""numeric"", ""numeric"", ""decimal""], ""matchInfo"": [{""potentialMatch"": ""lat"", ""sourceReference"": ""$_COLUMN_1"", ""confidence"": 17.0, ""datatype"": [""string"", ""string"", null], ""sourceIndex"": 1, ""matchType"": ""abbreviation""}]}, {""column"": ""Longitude"", ""displayName"": ""Longitude"", ""reference"": ""$_COLUMN_2"", ""targetPosition"": 2, ""datatype"": [""numeric"", ""numeric"", ""decimal""], ""matchInfo"": [{""potentialMatch"": ""long"", ""sourceReference"": ""$_COLUMN_2"", ""confidence"": 17.0, ""datatype"": [""string"", ""string"", null], ""sourceIndex"": 2, ""matchType"": ""abbreviation""}]}], ""unmatched"": {""unmatchedHeaders"": []}}",Latitude,"[""numeric"", ""numeric"", ""decimal""]",lat,$_COLUMN_1,17.0,abbreviation,6.421267032623291
"{""targetHash"": ""4HLG6HxRCio"", ""targetPreprocessHash"": ""LTdWcoNrFXI"", ""columnCount"": 3, ""headerRow"": 0, ""targetHeaders"": [{""Customer_ID"": [""numeric"", ""numeric"", ""integer""]}, {""Latitude"": [""numeric"", ""numeric"", ""decimal""]}, {""Longitude"": [""numeric"", ""numeric"", ""decimal""]}], ""targetLocation"": ""s3://dabot-testing-bucket/QA-Data/SubSet1/QA-Plan - Target_Schema.csv"", ""GPTSummaries"": []}","{""sourceHash"": ""B6RsFZWLjus"", ""sourcePreprocessHash"": ""K_0qZi6FWYM"", ""columnCount"": 3, ""headerRow"": 0, ""sourceHeaders"": [{""cust"": [""string"", ""string"", null]}, {""lat"": [""string"", ""string"", null]}, {""long"": [""string"", ""string"", null]}], ""sourceLocation"": ""s3://dabot-testing-bucket/QA-Data/SubSet1/QA-Plan - Test8.csv"", ""GPTSummaries"": []}","{""matches"": [{""column"": ""Customer_ID"", ""displayName"": ""Customer_ID"", ""reference"": ""$_COLUMN_0"", ""targetPosition"": 0, ""datatype"": [""numeric"", ""numeric"", ""integer""], ""matchInfo"": [{""potentialMatch"": ""cust"", ""sourceReference"": ""$_COLUMN_0"", ""confidence"": 17.0, ""datatype"": [""string"", ""string"", null], ""sourceIndex"": 0, ""matchType"": ""abbreviation""}]}, {""column"": ""Latitude"", ""displayName"": ""Latitude"", ""reference"": ""$_COLUMN_1"", ""targetPosition"": 1, ""datatype"": [""numeric"", ""numeric"", ""decimal""], ""matchInfo"": [{""potentialMatch"": ""lat"", ""sourceReference"": ""$_COLUMN_1"", ""confidence"": 17.0, ""datatype"": [""string"", ""string"", null], ""sourceIndex"": 1, ""matchType"": ""abbreviation""}]}, {""column"": ""Longitude"", ""displayName"": ""Longitude"", ""reference"": ""$_COLUMN_2"", ""targetPosition"": 2, ""datatype"": [""numeric"", ""numeric"", ""decimal""], ""matchInfo"": [{""potentialMatch"": ""long"", ""sourceReference"": ""$_COLUMN_2"", ""confidence"": 17.0, ""datatype"": [""string"", ""string"", null], ""sourceIndex"": 2, ""matchType"": ""abbreviation""}]}], ""unmatched"": {""unmatchedHeaders"": []}}",Longitude,"[""numeric"", ""numeric"", ""decimal""]",long,$_COLUMN_2,17.0,abbreviation,6.421267032623291
"{""targetHash"": ""4HLG6HxRCio"", ""targetPreprocessHash"": ""LTdWcoNrFXI"", ""columnCount"": 3, ""headerRow"": 0, ""targetHeaders"": [{""Customer_ID"": [""numeric"", ""numeric"", ""integer""]}, {""Latitude"": [""numeric"", ""numeric"", ""decimal""]}, {""Longitude"": [""numeric"", ""numeric"", ""decimal""]}], ""targetLocation"": ""s3://dabot-testing-bucket/QA-Data/SubSet1/QA-Plan - Target_Schema.csv"", ""GPTSummaries"": []}","{""sourceHash"": ""iGCCfWjCNPA"", ""sourcePreprocessHash"": ""K_0qZi6FWYM"", ""columnCount"": 3, ""headerRow"": 0, ""sourceHeaders"": [{""Customer_ID"": [""string"", ""string"", null]}, {""Latitude"": [""string"", ""string"", null]}, {""Longitude"": [""string"", ""string"", null]}], ""sourceLocation"": ""s3://dabot-testing-bucket/QA-Data/SubSet1/QA-Plan - Test7.csv"", ""GPTSummaries"": []}","{""matches"": [{""column"": ""Customer_ID"", ""displayName"": ""Customer_ID"", ""reference"": ""$_COLUMN_0"", ""targetPosition"": 0, ""datatype"": [""numeric"", ""numeric"", ""integer""], ""matchInfo"": [{""potentialMatch"": ""Customer_ID"", ""sourceReference"": ""$_COLUMN_0"", ""confidence"": 32.0, ""datatype"": [""string"", ""string"", null], ""sourceIndex"": 0, ""matchType"": ""exact""}]}, {""column"": ""Latitude"", ""displayName"": ""Latitude"", ""reference"": ""$_COLUMN_1"", ""targetPosition"": 1, ""datatype"": [""numeric"", ""numeric"", ""decimal""], ""matchInfo"": [{""potentialMatch"": ""Latitude"", ""sourceReference"": ""$_COLUMN_1"", ""confidence"": 32.0, ""datatype"": [""string"", ""string"", null], ""sourceIndex"": 1, ""matchType"": ""exact""}]}, {""column"": ""Longitude"", ""displayName"": ""Longitude"", ""reference"": ""$_COLUMN_2"", ""targetPosition"": 2, ""datatype"": [""numeric"", ""numeric"", ""decimal""], ""matchInfo"": [{""potentialMatch"": ""Longitude"", ""sourceReference"": ""$_COLUMN_2"", ""confidence"": 32.0, ""datatype"": [""string"", ""string"", null], ""sourceIndex"": 2, ""matchType"": ""exact""}]}], ""unmatched"": {""unmatchedHeaders"": []}}",Customer_ID,"[""numeric"", ""numeric"", ""integer""]",Customer_ID,$_COLUMN_0,32.0,exact,4.969977140426636
"{""targetHash"": ""4HLG6HxRCio"", ""targetPreprocessHash"": ""LTdWcoNrFXI"", ""columnCount"": 3, ""headerRow"": 0, ""targetHeaders"": [{""Customer_ID"": [""numeric"", ""numeric"", ""integer""]}, {""Latitude"": [""numeric"", ""numeric"", ""decimal""]}, {""Longitude"": [""numeric"", ""numeric"", ""decimal""]}], ""targetLocation"": ""s3://dabot-testing-bucket/QA-Data/SubSet1/QA-Plan - Target_Schema.csv"", ""GPTSummaries"": []}","{""sourceHash"": ""iGCCfWjCNPA"", ""sourcePreprocessHash"": ""K_0qZi6FWYM"", ""columnCount"": 3, ""headerRow"": 0, ""sourceHeaders"": [{""Customer_ID"": [""string"", ""string"", null]}, {""Latitude"": [""string"", ""string"", null]}, {""Longitude"": [""string"", ""string"", null]}], ""sourceLocation"": ""s3://dabot-testing-bucket/QA-Data/SubSet1/QA-Plan - Test7.csv"", ""GPTSummaries"": []}","{""matches"": [{""column"": ""Customer_ID"", ""displayName"": ""Customer_ID"", ""reference"": ""$_COLUMN_0"", ""targetPosition"": 0, ""datatype"": [""numeric"", ""numeric"", ""integer""], ""matchInfo"": [{""potentialMatch"": ""Customer_ID"", ""sourceReference"": ""$_COLUMN_0"", ""confidence"": 32.0, ""datatype"": [""string"", ""string"", null], ""sourceIndex"": 0, ""matchType"": ""exact""}]}, {""column"": ""Latitude"", ""displayName"": ""Latitude"", ""reference"": ""$_COLUMN_1"", ""targetPosition"": 1, ""datatype"": [""numeric"", ""numeric"", ""decimal""], ""matchInfo"": [{""potentialMatch"": ""Latitude"", ""sourceReference"": ""$_COLUMN_1"", ""confidence"": 32.0, ""datatype"": [""string"", ""string"", null], ""sourceIndex"": 1, ""matchType"": ""exact""}]}, {""column"": ""Longitude"", ""displayName"": ""Longitude"", ""reference"": ""$_COLUMN_2"", ""targetPosition"": 2, ""datatype"": [""numeric"", ""numeric"", ""decimal""], ""matchInfo"": [{""potentialMatch"": ""Longitude"", ""sourceReference"": ""$_COLUMN_2"", ""confidence"": 32.0, ""datatype"": [""string"", ""string"", null], ""sourceIndex"": 2, ""matchType"": ""exact""}]}], ""unmatched"": {""unmatchedHeaders"": []}}",Latitude,"[""numeric"", ""numeric"", ""decimal""]",Latitude,$_COLUMN_1,32.0,exact,4.969977140426636
"{""targetHash"": ""4HLG6HxRCio"", ""targetPreprocessHash"": ""LTdWcoNrFXI"", ""columnCount"": 3, ""headerRow"": 0, ""targetHeaders"": [{""Customer_ID"": [""numeric"", ""numeric"", ""integer""]}, {""Latitude"": [""numeric"", ""numeric"", ""decimal""]}, {""Longitude"": [""numeric"", ""numeric"", ""decimal""]}], ""targetLocation"": ""s3://dabot-testing-bucket/QA-Data/SubSet1/QA-Plan - Target_Schema.csv"", ""GPTSummaries"": []}","{""sourceHash"": ""iGCCfWjCNPA"", ""sourcePreprocessHash"": ""K_0qZi6FWYM"", ""columnCount"": 3, ""headerRow"": 0, ""sourceHeaders"": [{""Customer_ID"": [""string"", ""string"", null]}, {""Latitude"": [""string"", ""string"", null]}, {""Longitude"": [""string"", ""string"", null]}], ""sourceLocation"": ""s3://dabot-testing-bucket/QA-Data/SubSet1/QA-Plan - Test7.csv"", ""GPTSummaries"": []}","{""matches"": [{""column"": ""Customer_ID"", ""displayName"": ""Customer_ID"", ""reference"": ""$_COLUMN_0"", ""targetPosition"": 0, ""datatype"": [""numeric"", ""numeric"", ""integer""], ""matchInfo"": [{""potentialMatch"": ""Customer_ID"", ""sourceReference"": ""$_COLUMN_0"", ""confidence"": 32.0, ""datatype"": [""string"", ""string"", null], ""sourceIndex"": 0, ""matchType"": ""exact""}]}, {""column"": ""Latitude"", ""displayName"": ""Latitude"", ""reference"": ""$_COLUMN_1"", ""targetPosition"": 1, ""datatype"": [""numeric"", ""numeric"", ""decimal""], ""matchInfo"": [{""potentialMatch"": ""Latitude"", ""sourceReference"": ""$_COLUMN_1"", ""confidence"": 32.0, ""datatype"": [""string"", ""string"", null], ""sourceIndex"": 1, ""matchType"": ""exact""}]}, {""column"": ""Longitude"", ""displayName"": ""Longitude"", ""reference"": ""$_COLUMN_2"", ""targetPosition"": 2, ""datatype"": [""numeric"", ""numeric"", ""decimal""], ""matchInfo"": [{""potentialMatch"": ""Longitude"", ""sourceReference"": ""$_COLUMN_2"", ""confidence"": 32.0, ""datatype"": [""string"", ""string"", null], ""sourceIndex"": 2, ""matchType"": ""exact""}]}], ""unmatched"": {""unmatchedHeaders"": []}}",Longitude,"[""numeric"", ""numeric"", ""decimal""]",Longitude,$_COLUMN_2,32.0,exact,4.969977140426636
"{""targetHash"": ""4HLG6HxRCio"", ""targetPreprocessHash"": ""LTdWcoNrFXI"", ""columnCount"": 3, ""headerRow"": 0, ""targetHeaders"": [{""Customer_ID"": [""numeric"", ""numeric"", ""integer""]}, {""Latitude"": [""numeric"", ""numeric"", ""decimal""]}, {""Longitude"": [""numeric"", ""numeric"", ""decimal""]}], ""targetLocation"": ""s3://dabot-testing-bucket/QA-Data/SubSet1/QA-Plan - Target_Schema.csv"", ""GPTSummaries"": []}","{""sourceHash"": ""sfVoOXL2O4w"", ""sourcePreprocessHash"": ""K_0qZi6FWYM"", ""columnCount"": 3, ""headerRow"": 0, ""sourceHeaders"": [{""cust"": [""numeric"", ""numeric"", ""integer""]}, {""lat"": [""numeric"", ""numeric"", ""decimal""]}, {""long"": [""numeric"", ""numeric"", ""decimal""]}], ""sourceLocation"": ""s3://dabot-testing-bucket/QA-Data/SubSet1/QA-Plan - Test6.csv"", ""GPTSummaries"": []}","{""matches"": [{""column"": ""Customer_ID"", ""displayName"": ""Customer_ID"", ""reference"": ""$_COLUMN_0"", ""targetPosition"": 0, ""datatype"": [""numeric"", ""numeric"", ""integer""], ""matchInfo"": [{""potentialMatch"": ""cust"", ""sourceReference"": ""$_COLUMN_0"", ""confidence"": 85.0, ""datatype"": [""numeric"", ""numeric"", ""integer""], ""sourceIndex"": 0, ""matchType"": ""abbreviation""}]}, {""column"": ""Latitude"", ""displayName"": ""Latitude"", ""reference"": ""$_COLUMN_1"", ""targetPosition"": 1, ""datatype"": [""numeric"", ""numeric"", ""decimal""], ""matchInfo"": [{""potentialMatch"": ""lat"", ""sourceReference"": ""$_COLUMN_1"", ""confidence"": 85.0, ""datatype"": [""numeric"", ""numeric"", ""decimal""], ""sourceIndex"": 1, ""matchType"": ""abbreviation""}]}, {""column"": ""Longitude"", ""displayName"": ""Longitude"", ""reference"": ""$_COLUMN_2"", ""targetPosition"": 2, ""datatype"": [""numeric"", ""numeric"", ""decimal""], ""matchInfo"": [{""potentialMatch"": ""long"", ""sourceReference"": ""$_COLUMN_2"", ""confidence"": 85.0, ""datatype"": [""numeric"", ""numeric"", ""decimal""], ""sourceIndex"": 2, ""matchType"": ""abbreviation""}]}], ""unmatched"": {""unmatchedHeaders"": []}}",Customer_ID,"[""numeric"", ""numeric"", ""integer""]",cust,$_COLUMN_0,85.0,abbreviation,4.432227849960327
"{""targetHash"": ""4HLG6HxRCio"", ""targetPreprocessHash"": ""LTdWcoNrFXI"", ""columnCount"": 3, ""headerRow"": 0, ""targetHeaders"": [{""Customer_ID"": [""numeric"", ""numeric"", ""integer""]}, {""Latitude"": [""numeric"", ""numeric"", ""decimal""]}, {""Longitude"": [""numeric"", ""numeric"", ""decimal""]}], ""targetLocation"": ""s3://dabot-testing-bucket/QA-Data/SubSet1/QA-Plan - Target_Schema.csv"", ""GPTSummaries"": []}","{""sourceHash"": ""sfVoOXL2O4w"", ""sourcePreprocessHash"": ""K_0qZi6FWYM"", ""columnCount"": 3, ""headerRow"": 0, ""sourceHeaders"": [{""cust"": [""numeric"", ""numeric"", ""integer""]}, {""lat"": [""numeric"", ""numeric"", ""decimal""]}, {""long"": [""numeric"", ""numeric"", ""decimal""]}], ""sourceLocation"": ""s3://dabot-testing-bucket/QA-Data/SubSet1/QA-Plan - Test6.csv"", ""GPTSummaries"": []}","{""matches"": [{""column"": ""Customer_ID"", ""displayName"": ""Customer_ID"", ""reference"": ""$_COLUMN_0"", ""targetPosition"": 0, ""datatype"": [""numeric"", ""numeric"", ""integer""], ""matchInfo"": [{""potentialMatch"": ""cust"", ""sourceReference"": ""$_COLUMN_0"", ""confidence"": 85.0, ""datatype"": [""numeric"", ""numeric"", ""integer""], ""sourceIndex"": 0, ""matchType"": ""abbreviation""}]}, {""column"": ""Latitude"", ""displayName"": ""Latitude"", ""reference"": ""$_COLUMN_1"", ""targetPosition"": 1, ""datatype"": [""numeric"", ""numeric"", ""decimal""], ""matchInfo"": [{""potentialMatch"": ""lat"", ""sourceReference"": ""$_COLUMN_1"", ""confidence"": 85.0, ""datatype"": [""numeric"", ""numeric"", ""decimal""], ""sourceIndex"": 1, ""matchType"": ""abbreviation""}]}, {""column"": ""Longitude"", ""displayName"": ""Longitude"", ""reference"": ""$_COLUMN_2"", ""targetPosition"": 2, ""datatype"": [""numeric"", ""numeric"", ""decimal""], ""matchInfo"": [{""potentialMatch"": ""long"", ""sourceReference"": ""$_COLUMN_2"", ""confidence"": 85.0, ""datatype"": [""numeric"", ""numeric"", ""decimal""], ""sourceIndex"": 2, ""matchType"": ""abbreviation""}]}], ""unmatched"": {""unmatchedHeaders"": []}}",Latitude,"[""numeric"", ""numeric"", ""decimal""]",lat,$_COLUMN_1,85.0,abbreviation,4.432227849960327
"{""targetHash"": ""4HLG6HxRCio"", ""targetPreprocessHash"": ""LTdWcoNrFXI"", ""columnCount"": 3, ""headerRow"": 0, ""targetHeaders"": [{""Customer_ID"": [""numeric"", ""numeric"", ""integer""]}, {""Latitude"": [""numeric"", ""numeric"", ""decimal""]}, {""Longitude"": [""numeric"", ""numeric"", ""decimal""]}], ""targetLocation"": ""s3://dabot-testing-bucket/QA-Data/SubSet1/QA-Plan - Target_Schema.csv"", ""GPTSummaries"": []}","{""sourceHash"": ""sfVoOXL2O4w"", ""sourcePreprocessHash"": ""K_0qZi6FWYM"", ""columnCount"": 3, ""headerRow"": 0, ""sourceHeaders"": [{""cust"": [""numeric"", ""numeric"", ""integer""]}, {""lat"": [""numeric"", ""numeric"", ""decimal""]}, {""long"": [""numeric"", ""numeric"", ""decimal""]}], ""sourceLocation"": ""s3://dabot-testing-bucket/QA-Data/SubSet1/QA-Plan - Test6.csv"", ""GPTSummaries"": []}","{""matches"": [{""column"": ""Customer_ID"", ""displayName"": ""Customer_ID"", ""reference"": ""$_COLUMN_0"", ""targetPosition"": 0, ""datatype"": [""numeric"", ""numeric"", ""integer""], ""matchInfo"": [{""potentialMatch"": ""cust"", ""sourceReference"": ""$_COLUMN_0"", ""confidence"": 85.0, ""datatype"": [""numeric"", ""numeric"", ""integer""], ""sourceIndex"": 0, ""matchType"": ""abbreviation""}]}, {""column"": ""Latitude"", ""displayName"": ""Latitude"", ""reference"": ""$_COLUMN_1"", ""targetPosition"": 1, ""datatype"": [""numeric"", ""numeric"", ""decimal""], ""matchInfo"": [{""potentialMatch"": ""lat"", ""sourceReference"": ""$_COLUMN_1"", ""confidence"": 85.0, ""datatype"": [""numeric"", ""numeric"", ""decimal""], ""sourceIndex"": 1, ""matchType"": ""abbreviation""}]}, {""column"": ""Longitude"", ""displayName"": ""Longitude"", ""reference"": ""$_COLUMN_2"", ""targetPosition"": 2, ""datatype"": [""numeric"", ""numeric"", ""decimal""], ""matchInfo"": [{""potentialMatch"": ""long"", ""sourceReference"": ""$_COLUMN_2"", ""confidence"": 85.0, ""datatype"": [""numeric"", ""numeric"", ""decimal""], ""sourceIndex"": 2, ""matchType"": ""abbreviation""}]}], ""unmatched"": {""unmatchedHeaders"": []}}",Longitude,"[""numeric"", ""numeric"", ""decimal""]",long,$_COLUMN_2,85.0,abbreviation,4.432227849960327
